,term1,term2,cos_sim
0,solely,virologist,1.0000000000000002
1,dr,b.j,1.0000000000000002
2,dr,virologist,1.0000000000000002
3,solely,dr,1.0000000000000002
4,hardick,virologist,1.0000000000000002
5,b.j,virologist,1.0000000000000002
6,hardick,dr,1.0000000000000002
7,explain,hardick,1.0000000000000002
8,explain,solely,1.0000000000000002
9,explain,b.j,1.0000000000000002
10,explain,virologist,1.0000000000000002
11,hardick,solely,1.0
12,explain,dr,1.0
13,hardick,b.j,1.0
14,solely,b.j,1.0
15,<START>,<END>,0.9713016182926348
16,lead,b.j,0.9609492880947098
17,lead,virologist,0.9609492880947098
18,lead,solely,0.9609492880947098
19,lead,hardick,0.9609492880947098
20,lead,dr,0.9609492880947097
21,lead,explain,0.9609492880947097
22,<START>,coronavirus,0.8583360495133483
23,<END>,coronavirus,0.8413200022533653
24,men,b.j,0.7656528316368566
25,men,virologist,0.7656528316368566
26,men,dr,0.7656528316368565
27,men,explain,0.7656528316368565
28,men,solely,0.7656528316368564
29,men,hardick,0.7656528316368564
30,lead,men,0.7351962764857384
31,confirms,virologist,0.5613409845606673
32,confirms,b.j,0.5613409845606672
33,confirms,dr,0.5613409845606672
34,confirms,explain,0.5613409845606672
35,confirms,solely,0.5613409845606671
36,confirms,hardick,0.5613409845606671
37,lead,confirms,0.5222134228837924
38,confirms,men,0.44543395106227
39,break,solely,0.3561444441914525
40,break,hardick,0.3561444441914525
41,break,virologist,0.3561444441914525
42,break,dr,0.3561444441914524
43,explain,break,0.3561444441914524
44,break,b.j,0.3561444441914524
45,lead,break,0.33259049734063395
46,men,break,0.2663155803062369
47,:,coronavirus,0.2216352201094578
48,<START>,:,0.20902987694264885
49,break,:,0.20425062251639492
50,spread,coronavirus,0.20191633691775834
51,:,<END>,0.193818459043264
52,.,coronavirus,0.19063225486900637
53,spread,<END>,0.16690125025368974
54,<START>,spread,0.16484813305214763
55,.,<START>,0.15233964378138376
56,.,<END>,0.14896973045049045
57,b.j,:,0.10953940967105569
58,hardick,:,0.10953940967105569
59,solely,:,0.10953940967105569
60,:,virologist,0.10953940967105558
61,explain,:,0.10953940967105558
62,dr,:,0.10953940967105558
63,hardick,spread,0.10192982062654876
64,b.j,spread,0.10192982062654876
65,solely,spread,0.10192982062654876
66,spread,virologist,0.10192982062654865
67,dr,spread,0.10192982062654865
68,explain,spread,0.10192982062654865
69,confirms,break,0.10190798717609661
70,.,confirms,0.0955748302707029
71,lead,spread,0.08870209840793652
72,lead,.,0.08646212102907291
73,.,spread,0.08153966492932807
74,spread,:,0.08004748126515104
75,lead,:,0.07940667093558207
76,.,:,0.07396319277414465
77,.,hardick,0.06660822163254376
78,.,dr,0.06660822163254376
79,.,virologist,0.06660822163254376
80,.,b.j,0.06660822163254365
81,.,solely,0.06660822163254365
82,.,explain,0.06660822163254365
83,men,spread,0.06143944966314596
84,confirms,coronavirus,-0.053343707144570596
85,.,break,0.047804249670017396
86,men,:,0.04346057199987863
87,confirms,<END>,-0.04239798613084944
88,confirms,<START>,-0.03505120754942359
89,virologist,<END>,-0.034764909879503314
90,solely,<END>,-0.03476490987950309
91,b.j,<END>,-0.03476490987950309
92,hardick,<END>,-0.03476490987950309
93,dr,<END>,-0.03476490987950309
94,explain,<END>,-0.03476490987950309
95,<START>,virologist,-0.031297714683461875
96,<START>,b.j,-0.03129771468346165
97,<START>,dr,-0.03129771468346165
98,solely,<START>,-0.03129771468346165
99,hardick,<START>,-0.03129771468346165
100,explain,<START>,-0.03129771468346165
101,men,coronavirus,-0.028907100719608225
102,lead,<END>,-0.028633773295965392
103,men,<START>,-0.025912685456778384
104,confirms,:,0.02322948834477845
105,.,men,0.021897228275448044
106,lead,<START>,-0.021879146346309053
107,men,<END>,-0.02039182365636849
108,break,<START>,0.017952882493549205
109,break,coronavirus,0.0156405152562904
110,confirms,spread,0.014886975170407712
111,break,spread,0.0027897672787141614
112,lead,coronavirus,-0.002638159251976857
113,break,<END>,0.002276305786566013
114,b.j,coronavirus,0.0012459201840171463
115,dr,coronavirus,0.0012459201840171463
116,solely,coronavirus,0.0012459201840171463
117,hardick,coronavirus,0.0012459201840171463
118,explain,coronavirus,0.0012459201840170353
119,virologist,coronavirus,0.0012459201840170353
